key;nouns;verbs;adjectives;phrases;lessons
MAN;HUMAN,PERSON,FATHER,WOMAN,BOY,GIRL,MANNING;V_MAN;MANLY,MASCULINE;MANDE_SIG_OP;lesson1
WOMAN;HUMAN,PERSON,MOTHER,MAN,BOY,GIRL;;FEMININE;;lesson1
